flowcell_id	lane	index	sequencing_unit_id	plate	fq1	fq2
C30YAACXX	7		C30YAACXX-7	P1a	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C30YAACXX_7.fastq.gz	
C30YAACXX	8		C30YAACXX-8	P2a	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C30YAACXX_8.fastq.gz	
C2TG7ACXX	1		C2TG7ACXX-1	P3a	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C2TG7ACXX_1.fastq.gz	
C2TG7ACXX	2		C2TG7ACXX-2	P4a	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C2TG7ACXX_2.fastq.gz	
C2TG7ACXX	3		C2TG7ACXX-3	P5a	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C2TG7ACXX_3.fastq.gz	
C2TG7ACXX	5		C2TG7ACXX-5	P6a	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C2TG7ACXX_5.fastq.gz	
C2TG7ACXX	6		C2TG7ACXX-6	P7a	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C2TG7ACXX_6.fastq.gz	
C42PFACXX	1		C42PFACXX-1	P1b	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C42PFACXX_1.fastq.gz	
C42PFACXX	2		C42PFACXX-2	P2b	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C42PFACXX_2.fastq.gz	
C42PFACXX	3		C42PFACXX-3	P3b	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C42PFACXX_3.fastq.gz	
C42PFACXX	5		C42PFACXX-5	P4b	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C42PFACXX_5.fastq.gz	
C42PFACXX	6		C42PFACXX-6	P5b	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C42PFACXX_6.fastq.gz	
C42PFACXX	7		C42PFACXX-7	P6b	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C42PFACXX_7.fastq.gz	
C42PFACXX	8		C42PFACXX-8	P7b	/catalogue/InterspecificCommonBeanDenovoGenomeAssembly/5.Others/GBS_plates1-7/C42PFACXX_8.fastq.gz	
